paraview,t(s)
0,1E-05
1,2E-05
2,0.00012
3,0.00022
4,0.00032
5,0.00042
6,0.00052
7,0.00062
8,0.00072
9,0.00082
10,0.00092
11,0.00102
12,0.00103
13,0.00104
14,0.00114
15,0.00124
16,0.00134
17,0.00144
18,0.00154
19,0.00164
20,0.00174
21,0.00184
22,0.00194
23,0.00204
24,0.00205
25,0.00206
26,0.00216
27,0.00226
28,0.00236
29,0.00246
30,0.00256
31,0.00266
32,0.00276
33,0.00286
34,0.00296
35,0.00306
36,0.00307
37,0.00308
38,0.00318
39,0.00328
40,0.00338
41,0.00348
42,0.00358
43,0.00368
44,0.00378
45,0.00388
46,0.00398
47,0.00408
48,0.00409
49,0.0041
50,0.0042
51,0.0043
52,0.0044
53,0.0045
54,0.0046
55,0.0047
56,0.0048
57,0.0049
58,0.005
59,0.0051
60,0.00511
61,0.00512
62,0.00522
63,0.00532
64,0.00542
65,0.00552
66,0.00562
67,0.00572
68,0.00582
69,0.00592
70,0.00602
71,0.00612
72,0.00613
73,0.00614
74,0.00624
75,0.00634
76,0.00644
77,0.00654
78,0.00664
79,0.00674
80,0.00684
81,0.00694
82,0.00704
83,0.00714
84,0.00715
85,0.00716
86,0.00726
87,0.00736
88,0.00746
89,0.00756
90,0.00766
91,0.00776
92,0.00786
93,0.00796
94,0.00806
95,0.00816
96,0.00817
97,0.00818
98,0.00828
99,0.00838
100,0.00848
101,0.00858
102,0.00868
103,0.00878
104,0.00888
105,0.00898
106,0.00908
107,0.00918
108,0.00919
109,0.0092
110,0.0093
111,0.0094
112,0.0095
113,0.0096
114,0.0097
115,0.0098
116,0.0099
117,0.01
118,0.0101
119,0.0102
120,0.0102
121,0.0102
122,0.0103
123,0.0104
124,0.0105
125,0.0106
126,0.0107
127,0.0108
128,0.0109
129,0.011
130,0.0111
131,0.0112
132,0.0112
133,0.0112
134,0.0113
135,0.0114
136,0.0115
137,0.0116
138,0.0117
139,0.0118
140,0.0119
141,0.012
142,0.0121
143,0.0122
144,0.0123
145,0.0123
146,0.0124
147,0.0125
148,0.0126
149,0.0127
150,0.0128
151,0.0129
152,0.013
153,0.0131
154,0.0132
155,0.0133
156,0.0133
157,0.0133
158,0.0134
159,0.0135
160,0.0136
161,0.0137
162,0.0138
163,0.0139
164,0.014
165,0.0141
166,0.0142
167,0.0143
168,0.0143
169,0.0143
170,0.0144
171,0.0145
172,0.0146
173,0.0147
174,0.0148
175,0.0149
176,0.015
177,0.0151
178,0.0152
179,0.0153
180,0.0153
181,0.0153
182,0.0154
183,0.0155
184,0.0156
185,0.0157
186,0.0158
187,0.0159
188,0.016
189,0.0161
190,0.0162
191,0.0163
192,0.0163
193,0.0163
194,0.0164
195,0.0165
196,0.0166
197,0.0167
198,0.0168
199,0.0169
200,0.017
201,0.0171
202,0.0172
203,0.0173
204,0.0174
205,0.0174
206,0.0175
207,0.0176
208,0.0177
209,0.0178
210,0.0179
211,0.018
212,0.0181
213,0.0182
214,0.0183
215,0.0184
216,0.0184
217,0.0184
218,0.0185
219,0.0186
220,0.0187
221,0.0188
222,0.0189
223,0.019
224,0.0191
225,0.0192
226,0.0193
227,0.0194
228,0.0194
229,0.0194
230,0.0195
231,0.0196
232,0.0197
233,0.0198
234,0.0199
235,0.02
236,0.0201
237,0.0202
238,0.0203
239,0.0204
240,0.0204
241,0.0204
242,0.0205
243,0.0206
244,0.0207
245,0.0208
246,0.0209
247,0.021
248,0.0211
249,0.0212
250,0.0213
251,0.0214
252,0.0214
253,0.0214
254,0.0215
255,0.0216
256,0.0217
257,0.0218
258,0.0219
259,0.022
260,0.0221
261,0.0222
262,0.0223
263,0.0224
264,0.0225
265,0.0225
266,0.0226
267,0.0227
268,0.0228
269,0.0229
270,0.023
271,0.0231
272,0.0232
273,0.0233
274,0.0234
275,0.0235
276,0.0235
277,0.0235
278,0.0236
279,0.0237
280,0.0238
281,0.0239
282,0.024
283,0.0241
284,0.0242
285,0.0243
286,0.0244
287,0.0245
288,0.0245
289,0.0245
290,0.0246
291,0.0247
292,0.0248
293,0.0249
294,0.025
295,0.0251
296,0.0252
297,0.0253
298,0.0254
299,0.0255
300,0.0255
301,0.0255
302,0.0256
303,0.0257
304,0.0258
305,0.0259
306,0.026
307,0.0261
308,0.0262
309,0.0263
310,0.0264
311,0.0265
312,0.0265
313,0.0265
314,0.0266
315,0.0267
316,0.0268
317,0.0269
318,0.027
319,0.0271
320,0.0272
321,0.0273
322,0.0274
323,0.0275
324,0.0276
325,0.0276
326,0.0277
327,0.0278
328,0.0279
329,0.028
330,0.0281
331,0.0282
332,0.0283
333,0.0284
334,0.0285
335,0.0286
336,0.0286
337,0.0286
338,0.0287
339,0.0288
340,0.0289
341,0.029
342,0.0291
343,0.0292
344,0.0293
345,0.0294
346,0.0295
347,0.0296
348,0.0296
349,0.0296
350,0.0297
351,0.0298
352,0.0299
353,0.03
354,0.0301
355,0.0302
356,0.0303
357,0.0304
358,0.0305
359,0.0306
360,0.0306
361,0.0306
362,0.0307
363,0.0308
364,0.0309
365,0.031
366,0.0311
367,0.0312
368,0.0313
369,0.0314
370,0.0315
371,0.0316
372,0.0316
373,0.0316
374,0.0317
375,0.0318
376,0.0319
377,0.032
378,0.0321
379,0.0322
380,0.0323
381,0.0324
382,0.0325
383,0.0326
384,0.0327
385,0.0327
386,0.0328
387,0.0329
388,0.033
389,0.0331
390,0.0332
391,0.0333
392,0.0334
393,0.0335
394,0.0336
395,0.0337
396,0.0337
397,0.0337
398,0.0338
399,0.0339
400,0.034
401,0.0341
402,0.0342
403,0.0343
404,0.0344
405,0.0345
406,0.0346
407,0.0347
408,0.0347
409,0.0347
410,0.0348
411,0.0349
412,0.035
413,0.0351
414,0.0352
415,0.0353
416,0.0354
417,0.0355
418,0.0356
419,0.0357
420,0.0357
421,0.0357
422,0.0358
423,0.0359
424,0.036
425,0.0361
426,0.0362
427,0.0363
428,0.0364
429,0.0365
430,0.0366
431,0.0367
432,0.0367
433,0.0367
434,0.0368
435,0.0369
436,0.037
437,0.0371
438,0.0372
439,0.0373
440,0.0374
441,0.0375
442,0.0376
443,0.0377
444,0.0378
445,0.0378
446,0.0379
447,0.038
448,0.0381
449,0.0382
450,0.0383
451,0.0384
452,0.0385
453,0.0386
454,0.0387
455,0.0388
456,0.0388
457,0.0388
458,0.0389
459,0.039
460,0.0391
461,0.0392
462,0.0393
463,0.0394
464,0.0395
465,0.0396
466,0.0397
467,0.0398
